Unnamed: 0,Employee Data Details,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,Global E-Commerce,,72086.18029844,78384.824580616,81552.639463764,73720.0974668928,64711.6500544605,67825.9284290784,0.0,0.0,0.0,0.0,0.0,0.0,,18.8606466666666,20.5967215333333,21.1838808,20.0593333333333,18.8446666666666,20.3996430666666,0.0,0.0,0.0,0.0,0.0,0.0
,DX / AI,,73422.63241698,76261.46948342,89976.28782352,81077.85773208,74322.3520674,81170.64632586,80625.30640488,80672.9369894199,78760.232052625,82909.63115876,71681.0539376249,58941.6693055,,17.8231699999999,17.7144933333333,19.09383,17.2396433333333,16.7094333333333,18.3849366666666,18.7710133333333,18.772,18.7764233333333,19.2125666666666,18.9299633333333,16.6316366666666
,Finance,,41690.11061446,42525.50033862,43251.5730072,50750.3961478799,55062.9183303,53891.26530816,47618.7583032,50575.26961892,46915.59481275,46459.60136104,45451.78223487,40206.19295616,,10,10.0,10.0,11.0,13.0,13.0,12.0,13.0,12.0,12.0,12.1937266666666,12.5303266666666
,HR,,57536.21181,55253.09139727,56151.51604008,66475.43892132,68308.2157824,61683.82407432,59558.89834824,50608.4583944399,49283.51349575,46442.05102712,47482.50963126,44922.6897499599,,18.11414,17.1076833333333,16.9392,19.3403933333333,20.29168,17.9154866666666,18.12544,15.1449899999999,14.5213333333333,13.7969666666666,14.8185833333333,14.3939933333333
,Legal,,9749.59133764,9885.75531025,13634.76016344,13684.23071664,13594.07277135,13365.30170535,13254.48078816,13033.8964601199,13264.07768975,12925.80759596,12660.41778738,11465.27970024,,2,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
,PR,,12881.9811967,13667.65378569,8809.45567496,9015.81004764,9143.68158495,9101.19563241,9256.49547936,9752.22180418,9875.289547,9496.06426272,9305.17509636,8525.14137692,,3,3.0,3.0,2.0,2.0,2.0,2.0,2.25854333333333,2.2675,2.17423666666666,2.25111333333333,2.22416666666666
,Engineer,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,共通系,,-128513.91705768,7175.22048468,-20822.02445672,32865.1085928,31215.9797378999,-28644.46358067,50650.93257128,46913.8403331999,-23703.8123399999,45927.5635217,36315.4275851399,-61144.6814361599,,3.87276666666666,3.92361333333333,5.92468333333333,6.09297333333333,7.1235,9.13565333333333,10.3323333333333,10.0,10.0509733333333,9.09997333333333,9.0,8.91165333333333
,Tech,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,D2C EP,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,POKKT,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,DM,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,[Local BU 7],,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Regional,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tech-Recharge,,,,,,,,,,,,,,,,,,,,,,,,,,
,Located overseas,,,,,,,,,,,,,,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
,Subtotal,,803110.3146836,1010856.00654411,990694.2324092,1146448.00513584,1100095.12620112,1117037.27694132,1089754.4066402,1026557.64848803,1024076.621226,1026118.23389838,1000424.4075276,804425.5529579,,252.174316666666,264.124156666666,278.114936666666,289.630006666666,288.436659999999,290.471633333333,287.356856666666,283.344133333333,274.979919999999,277.452606666666,283.94057,269.058443333333
,Check,,-4.65661287307739e-10,8.14907252788543e-10,-1.74622982740402e-09,6.98491930961608e-10,6.98491930961608e-10,0.0,0.0,-8.14907252788543e-10,3.49245965480804e-10,4.65661287307739e-10,3.49245965480804e-10,-3.49245965480804e-10,,2.8421709430404e-14,1.70530256582424e-13,-5.6843418860808e-14,5.6843418860808e-14,0.0,-4.54747350886464e-13,1.13686837721616e-13,5.6843418860808e-14,-1.13686837721616e-13,-1.70530256582424e-13,-1.13686837721616e-13,2.8421709430404e-13
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,144.138534428209,148.724980740115,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Country,GROVE,,,,,,,,,,,,,,,,,,,,,,,,,
,Entity level Dept,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DM,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,PG,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,IM,124355.330957011,119394.572529033,140629.584063832,150897.735555731,162576.238621242,149684.283842541,147244.009498956,151619.583165052,153650.223606739,165968.56018092,154887.370517401,154972.557610088,,35.3519466666666,34.7481616666666,36.9153783333333,36.0179375,38.2050116666666,36.7059583333333,38.0459908333333,39.4689875,40.6112133333333,43.8108,44.1929958333333,45.8514458333333
,,CG,54619.937984458,48699.02046704,56485.427078696,63838.710698796,64167.24504591,63433.914714555,60471.4869094639,65960.175700108,69507.890867468,69397.508381866,67424.490509937,66958.882323412,,16.3352133333333,15.2698166666666,16.931562,15.8445663333333,15.7947453333333,17.2481806666666,17.679245,18.7098983333333,19.5408463333333,19.6757693333333,20.3484413333333,20.919976
,,D2C,47391.588980351,46031.146096746,54287.894835152,63846.389832192,77345.4468764474,74846.662225314,69124.3025177399,70345.81942056,75308.0155936219,74418.749601994,72937.7518074315,71934.8131252999,,13.3358599999999,14.0239249999999,14.9422429999999,14.7580194999999,18.132633,19.7911709999999,19.9950674999999,19.6177474999999,20.3149536666666,20.1641139999999,21.1971594999999,21.9131081666666
,,POKKT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Corporate,70125.1246619,145586.66469849,51931.74863416,1981.96530047999,-6693.1979652,-56547.59868576,29553.09948152,16866.18473586,20337.82308975,20128.4859745199,18927.1473038999,59699.5678081599,,3,3.0,2.0,4.18950666666666,3.21224333333333,3.32171333333333,2.37255,2.53007,3.51127,3.36757333333333,3.40736333333333,3.52798666666666
,,[Dept 1],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
